scope,center,col_group,col_label,col_order,metric_group,metric,metric_order,value_type,value,row_label,col_final,value_display
Center,ADBVXDTE Cancer Center,Time,Launch to Date,1,Patient Identification & Enrollment,Enrollments in IovanceCares,1,count,34.0,01  Enrollments in IovanceCares,01 Launch to Date,34
Center,ADBVXDTE Cancer Center,Time,Launch to Date,1,Patient Identification & Enrollment,Patients Enrolled in IovanceCares,2,count,34.0,02  Patients Enrolled in IovanceCares,01 Launch to Date,34
Center,ADBVXDTE Cancer Center,Time,Launch to Date,1,Patient Identification & Enrollment,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,3,count,5.0,03  TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,01 Launch to Date,5
Center,ADBVXDTE Cancer Center,Time,Launch to Date,1,Tumor Tissue Procurement,Completed TTPs,4,count,20.0,04  Completed TTPs,01 Launch to Date,20
Center,ADBVXDTE Cancer Center,Time,Launch to Date,1,Tumor Tissue Procurement,Scheduled TTPs,5,count,3.0,05  Scheduled TTPs,01 Launch to Date,3
Center,ADBVXDTE Cancer Center,Time,Launch to Date,1,Tumor Tissue Procurement,2nd Resections (Scheduled or Completed),6,count,0.0,06  2nd Resections (Scheduled or Completed),01 Launch to Date,0
Center,ADBVXDTE Cancer Center,Time,Launch to Date,1,AMTAGVI Regimen,Patient Related Drop-outs following TTP due to patient health,7,count,1.0,07  Patient Related Drop-outs following TTP due to patient health,01 Launch to Date,1
Center,ADBVXDTE Cancer Center,Time,Launch to Date,1,AMTAGVI Regimen,OOS Products,8,count,0.0,08  OOS Products,01 Launch to Date,0
Center,ADBVXDTE Cancer Center,Time,Launch to Date,1,AMTAGVI Regimen,Patient Progression Rate,9,rate,0.097,09  Patient Progression Rate,01 Launch to Date,9.7%
Center,ADBVXDTE Cancer Center,Time,Launch to Date,1,AMTAGVI Regimen,AMTAGVI Infusions Performed,10,count,14.0,10  AMTAGVI Infusions Performed,01 Launch to Date,14
Center,ADBVXDTE Cancer Center,Time,Launch to Date,1,AMTAGVI Treatment Timelines,Median Time From Enrollment Date to TTP (Days),11,days,35.0,11  Median Time From Enrollment Date to TTP (Days),01 Launch to Date,35.0
Center,ADBVXDTE Cancer Center,Time,Launch to Date,1,AMTAGVI Treatment Timelines,Median Time From TTP to AMTAGVI Infusion (Days),12,days,41.0,12  Median Time From TTP to AMTAGVI Infusion (Days),01 Launch to Date,41.0
Center,ADBVXDTE Cancer Center,Time,Launch to Date,1,AMTAGVI Treatment Timelines,Median Time From Final Product Delivery Date to AMTAGVI Infusion (Days),13,days,3.0,13  Median Time From Final Product Delivery Date to AMTAGVI Infusion (Days),01 Launch to Date,3.0
Center,ADBVXDTE Cancer Center,Time,2024,2,Patient Identification & Enrollment,Enrollments in IovanceCares,1,count,9.0,01  Enrollments in IovanceCares,02 2024,9
Center,ADBVXDTE Cancer Center,Time,2024,2,Patient Identification & Enrollment,Patients Enrolled in IovanceCares,2,count,9.0,02  Patients Enrolled in IovanceCares,02 2024,9
Center,ADBVXDTE Cancer Center,Time,2024,2,Patient Identification & Enrollment,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,3,count,2.0,03  TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,02 2024,2
Center,ADBVXDTE Cancer Center,Time,2024,2,Tumor Tissue Procurement,Completed TTPs,4,count,4.0,04  Completed TTPs,02 2024,4
Center,ADBVXDTE Cancer Center,Time,2024,2,Tumor Tissue Procurement,Scheduled TTPs,5,count,0.0,05  Scheduled TTPs,02 2024,0
Center,ADBVXDTE Cancer Center,Time,2024,2,Tumor Tissue Procurement,2nd Resections (Scheduled or Completed),6,count,0.0,06  2nd Resections (Scheduled or Completed),02 2024,0
Center,ADBVXDTE Cancer Center,Time,2024,2,AMTAGVI Regimen,Patient Related Drop-outs following TTP due to patient health,7,count,0.0,07  Patient Related Drop-outs following TTP due to patient health,02 2024,0
Center,ADBVXDTE Cancer Center,Time,2024,2,AMTAGVI Regimen,OOS Products,8,count,0.0,08  OOS Products,02 2024,0
Center,ADBVXDTE Cancer Center,Time,2024,2,AMTAGVI Regimen,Patient Progression Rate,9,rate,0.0,09  Patient Progression Rate,02 2024,0.0%
Center,ADBVXDTE Cancer Center,Time,2024,2,AMTAGVI Regimen,AMTAGVI Infusions Performed,10,count,1.0,10  AMTAGVI Infusions Performed,02 2024,1
Center,ADBVXDTE Cancer Center,Time,2024,2,AMTAGVI Treatment Timelines,Median Time From Enrollment Date to TTP (Days),11,days,40.0,11  Median Time From Enrollment Date to TTP (Days),02 2024,40.0
Center,ADBVXDTE Cancer Center,Time,2024,2,AMTAGVI Treatment Timelines,Median Time From TTP to AMTAGVI Infusion (Days),12,days,54.0,12  Median Time From TTP to AMTAGVI Infusion (Days),02 2024,54.0
Center,ADBVXDTE Cancer Center,Time,2024,2,AMTAGVI Treatment Timelines,Median Time From Final Product Delivery Date to AMTAGVI Infusion (Days),13,days,2.0,13  Median Time From Final Product Delivery Date to AMTAGVI Infusion (Days),02 2024,2.0
Center,ADBVXDTE Cancer Center,Time,2025,3,Patient Identification & Enrollment,Enrollments in IovanceCares,1,count,19.0,01  Enrollments in IovanceCares,03 2025,19
Center,ADBVXDTE Cancer Center,Time,2025,3,Patient Identification & Enrollment,Patients Enrolled in IovanceCares,2,count,19.0,02  Patients Enrolled in IovanceCares,03 2025,19
Center,ADBVXDTE Cancer Center,Time,2025,3,Patient Identification & Enrollment,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,3,count,2.0,03  TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,03 2025,2
Center,ADBVXDTE Cancer Center,Time,2025,3,Tumor Tissue Procurement,Completed TTPs,4,count,12.0,04  Completed TTPs,03 2025,12
Center,ADBVXDTE Cancer Center,Time,2025,3,Tumor Tissue Procurement,Scheduled TTPs,5,count,0.0,05  Scheduled TTPs,03 2025,0
Center,ADBVXDTE Cancer Center,Time,2025,3,Tumor Tissue Procurement,2nd Resections (Scheduled or Completed),6,count,0.0,06  2nd Resections (Scheduled or Completed),03 2025,0
Center,ADBVXDTE Cancer Center,Time,2025,3,AMTAGVI Regimen,Patient Related Drop-outs following TTP due to patient health,7,count,0.0,07  Patient Related Drop-outs following TTP due to patient health,03 2025,0
Center,ADBVXDTE Cancer Center,Time,2025,3,AMTAGVI Regimen,OOS Products,8,count,0.0,08  OOS Products,03 2025,0
Center,ADBVXDTE Cancer Center,Time,2025,3,AMTAGVI Regimen,Patient Progression Rate,9,rate,0.0,09  Patient Progression Rate,03 2025,0.0%
Center,ADBVXDTE Cancer Center,Time,2025,3,AMTAGVI Regimen,AMTAGVI Infusions Performed,10,count,7.0,10  AMTAGVI Infusions Performed,03 2025,7
Center,ADBVXDTE Cancer Center,Time,2025,3,AMTAGVI Treatment Timelines,Median Time From Enrollment Date to TTP (Days),11,days,34.0,11  Median Time From Enrollment Date to TTP (Days),03 2025,34.0
Center,ADBVXDTE Cancer Center,Time,2025,3,AMTAGVI Treatment Timelines,Median Time From TTP to AMTAGVI Infusion (Days),12,days,39.0,12  Median Time From TTP to AMTAGVI Infusion (Days),03 2025,39.0
Center,ADBVXDTE Cancer Center,Time,2025,3,AMTAGVI Treatment Timelines,Median Time From Final Product Delivery Date to AMTAGVI Infusion (Days),13,days,5.0,13  Median Time From Final Product Delivery Date to AMTAGVI Infusion (Days),03 2025,5.0
Center,ADBVXDTE Cancer Center,Time,2026 YTD,4,Patient Identification & Enrollment,Enrollments in IovanceCares,1,count,6.0,01  Enrollments in IovanceCares,04 2026 YTD,6
Center,ADBVXDTE Cancer Center,Time,2026 YTD,4,Patient Identification & Enrollment,Patients Enrolled in IovanceCares,2,count,6.0,02  Patients Enrolled in IovanceCares,04 2026 YTD,6
Center,ADBVXDTE Cancer Center,Time,2026 YTD,4,Patient Identification & Enrollment,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,3,count,0.0,03  TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,04 2026 YTD,0
Center,ADBVXDTE Cancer Center,Time,2026 YTD,4,Tumor Tissue Procurement,Completed TTPs,4,count,4.0,04  Completed TTPs,04 2026 YTD,4
Center,ADBVXDTE Cancer Center,Time,2026 YTD,4,Tumor Tissue Procurement,Scheduled TTPs,5,count,0.0,05  Scheduled TTPs,04 2026 YTD,0
Center,ADBVXDTE Cancer Center,Time,2026 YTD,4,Tumor Tissue Procurement,2nd Resections (Scheduled or Completed),6,count,0.0,06  2nd Resections (Scheduled or Completed),04 2026 YTD,0
Center,ADBVXDTE Cancer Center,Time,2026 YTD,4,AMTAGVI Regimen,Patient Related Drop-outs following TTP due to patient health,7,count,1.0,07  Patient Related Drop-outs following TTP due to patient health,04 2026 YTD,1
Center,ADBVXDTE Cancer Center,Time,2026 YTD,4,AMTAGVI Regimen,OOS Products,8,count,0.0,08  OOS Products,04 2026 YTD,0
Center,ADBVXDTE Cancer Center,Time,2026 YTD,4,AMTAGVI Regimen,Patient Progression Rate,9,rate,0.25,09  Patient Progression Rate,04 2026 YTD,25.0%
Center,ADBVXDTE Cancer Center,Time,2026 YTD,4,AMTAGVI Regimen,AMTAGVI Infusions Performed,10,count,4.0,10  AMTAGVI Infusions Performed,04 2026 YTD,4
Center,ADBVXDTE Cancer Center,Time,2026 YTD,4,AMTAGVI Treatment Timelines,Median Time From Enrollment Date to TTP (Days),11,days,41.5,11  Median Time From Enrollment Date to TTP (Days),04 2026 YTD,41.5
Center,ADBVXDTE Cancer Center,Time,2026 YTD,4,AMTAGVI Treatment Timelines,Median Time From TTP to AMTAGVI Infusion (Days),12,days,51.5,12  Median Time From TTP to AMTAGVI Infusion (Days),04 2026 YTD,51.5
Center,ADBVXDTE Cancer Center,Time,2026 YTD,4,AMTAGVI Treatment Timelines,Median Time From Final Product Delivery Date to AMTAGVI Infusion (Days),13,days,5.0,13  Median Time From Final Product Delivery Date to AMTAGVI Infusion (Days),04 2026 YTD,5.0
Center,ADBVXDTE Cancer Center,Quarter,Q3'26 QTD,10,Patient Identification & Enrollment,Enrollments in IovanceCares,1,count,0.0,01  Enrollments in IovanceCares,10 Q3'26 QTD,0
Center,ADBVXDTE Cancer Center,Quarter,Q3'26 QTD,10,Patient Identification & Enrollment,Patients Enrolled in IovanceCares,2,count,0.0,02  Patients Enrolled in IovanceCares,10 Q3'26 QTD,0
