center,metric,order_id,missing_date_field
FCNZTTSU Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,AHN-XTU5139,tumor_pickup_date
OMUGYION Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,ARD-QQC6880,tumor_pickup_date
NBMEXGFG Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,HRX-AAA1086,tumor_pickup_date
ZDHNYSTP Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,HKM-MDF0535,tumor_pickup_date
RCEPUEHY Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,PYR-LKH1550,tumor_pickup_date
TTJGAYYG Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,GWL-AYN2650,tumor_pickup_date
KYRCVVUX Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,CBJ-FOA3496,tumor_pickup_date
ZWAGVBWH Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,MEE-OIC4639,tumor_pickup_date
NBMEXGFG Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,DAH-CKW1015,tumor_pickup_date
CCLXDLSF Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,IFT-IGY4044,tumor_pickup_date
IACCUSSM Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,KGE-WQE6404,tumor_pickup_date
VBLPNRUK Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,WBK-LUD4176,tumor_pickup_date
DPCQQCTK Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,GTC-VJO1372,tumor_pickup_date
WLHAJVAX Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,ZYE-PCR9069,tumor_pickup_date
KYRCVVUX Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,WWZ-JWO0261,tumor_pickup_date
SHVPOEMW Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,SPX-LYJ1411,tumor_pickup_date
QOYKHBAJ Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,BAY-NNM4651,tumor_pickup_date
CCLXDLSF Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,YNY-FLD5143,tumor_pickup_date
GGBDLMEK Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,SBU-VSQ7794,tumor_pickup_date
GRQDVFUA Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,URY-YSJ5468,tumor_pickup_date
